pkg_order,num_actions,unique_actions,action_diversity,action_sequence_str,shop_id,shop_type_name_x,shop_status_name_x,shop__seniority_x,shop__categories_x,address__ward_name_x,address__district_name_x,address__province_name_x,shop_type_name_y,seniority_group,shop_status_name_y,shop__seniority_y,shop__categories_y,address__ward_name_y,address__district_name_y,address__province_name_y
1481335066,3,2,0.6666666666666666,distributorCfmDeliver → distributorCfmDeliver → verifySessionPackage,61c3072f-9d30-455d-9305-435a0a6e4cd4,Pro (B2C),Đang làm việc,42,"[""others""]",Thị trấn Ba Tri,Huyện Ba Tri,Bến Tre,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,42,"[""others""]",Thị trấn Ba Tri,Huyện Ba Tri,Bến Tre
1483931367,3,2,0.6666666666666666,updateDeliverWorkShiftPackage → privateNotePackage → privateNotePackage,634e5685-89bc-4064-9799-460a0a6e4d75,Pro (B2C),Đang làm việc,32,,Xã An Khánh,Hoài Đức,Hà Nội,Pro (B2C),Nhóm 2 - Trung bình,Đang làm việc,32,,Xã An Khánh,Hoài Đức,Hà Nội
1484204872,2,2,1.0,verifySessionPackage → distributorCfmDeliver,5fa2750a-73b4-4d07-940c-45da0a6e4c24,Pro (B2C),Đang làm việc,56,"[""others""]",Phường Xuân La,Quận Tây Hồ,Hà Nội,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,56,"[""others""]",Phường Xuân La,Quận Tây Hồ,Hà Nội
1475018646,2,2,1.0,putPackages2Bag → assignBagWithIdentifyBag,33d1c567-d312-4502-b1d8-69f1c56f3a45,Standard (C2C),Đang làm việc,3,"[""others""]",Thị Trấn A Lưới,Huyện A Lưới,Thành phố Huế,Standard (C2C),Nhóm 1 - Mới,Đang làm việc,3,"[""others""]",Thị Trấn A Lưới,Huyện A Lưới,Thành phố Huế
1476185935,2,2,1.0,updateDeliverWorkshiftByCod → distributorCfmDeliver,62515e31-e8c4-4822-801e-444c0a6e4d57,Pro (B2C),Đang làm việc,39,"[""home_care""]",Phường Phú Đô,Quận Từ Liêm,Hà Nội,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,39,"[""home_care""]",Phường Phú Đô,Quận Từ Liêm,Hà Nội
1468925334,2,2,1.0,takeDeliveringPackages → distributorCfmDeliver,a2079f68-c432-45aa-9d45-a677abad9567,Pro (B2C),Đang làm việc,10,,Phường 9,Quận Tân Bình,TP Hồ Chí Minh,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,10,,Phường 9,Quận Tân Bình,TP Hồ Chí Minh
1472752982,2,2,1.0,takeReturningPackages → distributorCfmReturning,6060787f-9db0-498e-aca7-4bf10a6e4c24,Pro (B2C),Đang làm việc,51,"[""fashion_new""]",Phường Thanh Nhàn,Quận Hai Bà Trưng,Hà Nội,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,51,"[""fashion_new""]",Phường Thanh Nhàn,Quận Hai Bà Trưng,Hà Nội
1436630722,2,2,1.0,distributorCfmReturning → takeReturningPackages,5ced0b33-6254-49e9-ab64-44130a0a0210,Pro (B2C),Đang làm việc,74,"[""fashion_new"",""accessories""]",Phường Mai Động,Quận Hoàng Mai,Hà Nội,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,74,"[""fashion_new"",""accessories""]",Phường Mai Động,Quận Hoàng Mai,Hà Nội
1439609122,2,2,1.0,verifySessionPackage → distributorCfmDeliver,5cdce6e1-aec4-43ab-8b06-4bc50a0a0210,Pro (B2C),Đang làm việc,74,"[""accessories""]",Phước Tân,Thành phố Nha Trang,Khánh Hòa,Pro (B2C),Nhóm 3 - Lâu năm,Đang làm việc,74,"[""accessories""]",Phước Tân,Thành phố Nha Trang,Khánh Hòa
1177972148,2,2,1.0,verifySessionPackage → distributorCfmDeliver,583471f9-8631-4761-baa8-7e38377f2958,Pro (B2C),Đang làm việc,5,,Xã Hải Bối,Đông Anh,Hà Nội,Pro (B2C),Nhóm 1 - Mới,Đang làm việc,5,,Xã Hải Bối,Đông Anh,Hà Nội
