sequence,count,length
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill,39,7
assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupCrossProvinceBill,39,5
updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus,39,3
assignCodPicking -> updatePickedByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill,38,5
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> PickupBill,38,7
assignCodPicking -> putPackages2Bag -> putInBox -> scanBox -> confirmExportBox -> TransferToBothBill,37,6
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> PickupBill -> updatePickedByCod -> PickupCrossProvinceBill,36,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,35,12
assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> putPackages2Bag -> assignBagWithIdentifyBag -> cfmTransit -> TransferToBothBill,34,10
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag,33,4
putPackages2Bag -> putInBox -> scanBox -> confirmExportBox -> TransferToBothBill,33,5
smartScaleScanningPackage -> putPackages2Bag -> putInBox,33,3
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,33,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,32,10
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> distributorCfmReturning -> importStationByDistributer -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,32,10
assignCodPicking -> assignCodPicking -> assignCodPicking -> distributorCfmReturning -> importStationByDistributer -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,32,8
assignCodPicking -> assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill,32,6
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupCrossProvinceBill,32,7
verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage,32,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,32,15
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill,32,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> cfmTransit -> TransferToBothBill -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,31,10
assignCodPicking -> assignCodPicking -> assignCodPicking -> cfmTransit -> TransferToBothBill -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,31,10
assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,31,12
assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updatePickedByCod -> PickupCrossProvinceBill,31,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> importStationByDistributer -> distributorCfmReturning -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,31,10
assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> PickupBill,31,5
changePackageStatus -> assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod,30,5
assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,29,12
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,29,14
TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning,28,3
confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> assignCodPicking -> assignCodPicking,28,5
assignCodPicking -> PickupBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill,28,5
assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,28,12
assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill,28,6
TakeAPhotoReturnRequest -> distributorCfmReturning -> importStationByDistributer,27,3
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,27,10
assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod,27,4
