sequence,count,length
changePackageStatus -> confirmTmpPickedPackageStatus -> PickupBill -> TransferToBothBill -> cfmTransit,18,5
assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus,18,4
putPackages2Bag -> smartScaleScanningPackage -> assignBagWithIdentifyBag,18,3
distributorCfmReturning -> takeReturningPackages -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,18,5
assignCodPicking -> putPackages2Bag -> putInBox -> verifySessionPackage,18,4
assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus,18,4
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill -> distributorCfmReturning -> importStationByDistributer -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,18,12
assignCodPicking -> scanBox -> confirmExportBox -> TransferToBothBill,18,4
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill,17,7
assignCodPicking -> assignCodPicking -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,17,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,17,13
cfmTransit -> TransferToBothBill -> verifySessionBags -> TakeAPhotoReturnRequest -> distributorCfmReturning -> importStationByDistributer,17,6
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,17,35
PickupBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill,17,4
assignCodPicking -> PickupCrossProvinceBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill,17,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,17,6
PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupCrossProvinceBill,17,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> verifySessionPackage,17,10
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> updatePickedByCod -> PickupBill -> confirmTmpPickedPackageStatus,17,7
cfmTransit -> TransferToBothBill -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,17,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> cfmTransit -> TransferToBothBill -> distributorCfmReturning -> importStationByDistributer,17,7
assignCodPicking -> assignCodPicking -> ScanPackageToBag,17,3
updatePickedByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill,16,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill,16,11
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> updatePickedByCod -> PickupBill -> cfmTransit -> TransferToBothBill,16,11
assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill,16,4
assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,16,4
cfmTransit -> TransferToBothBill -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,16,5
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> PickupCrossProvinceBill -> updatePickedByCod -> confirmTmpPickedPackageStatus,16,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> cfmTransit -> TransferToBothBill -> importStationByDistributer -> distributorCfmReturning -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,16,10
assignCodPicking -> putPackages2Bag -> smartScaleScanningPackage -> putInBox -> verifySessionPackage,16,5
assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> distributorCfmReturning -> importStationByDistributer -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,16,10
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> PickupBill -> updatePickedByCod -> cfmTransit -> TransferToBothBill,16,11
privateNotePackage -> privateNotePackage -> putPackages2Bag -> assignBagWithIdentifyBag,15,4
verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> smartScaleScanningPackage -> distributorCfmReturning -> importStationByDistributer,15,6
changePackageStatus -> assignCodPicking -> PickupBill -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus,15,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> putInBox,15,5
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,15,10
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> PickupBill -> updatePickedByCod,15,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,15,38
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> cfmTransit -> TransferToBothBill,15,11
assignCodPicking -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill,15,5
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill -> importStationByDistributer -> distributorCfmReturning -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,15,12
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> updatePickedByCod,15,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> PickupBill -> cfmTransit -> TransferToBothBill,15,11
verifySessionPackage -> putPackages2Bag -> putInBox,14,3
assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,14,12
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,14,8
putPackages2Bag -> assignBagWithIdentifyBag -> importStationByDistributer -> distributorCfmReturning,14,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> updatePickedByCod -> cfmTransit -> TransferToBothBill,14,11
assignCodPicking -> PickupCrossProvinceBill -> PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod,14,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> PickupBill -> updatePickedByCod -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill,14,11
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> PickupBill -> updatePickedByCod,14,7
confirmTmpPickedPackageStatus -> PickupBill -> updatePickedByCod -> PickupCrossProvinceBill,14,4
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> PickupBill,14,7
updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill,14,4
privateNotePackage -> privateNotePackage -> cfmTransit -> TransferToBothBill,14,4
distributorCfmReturning -> takeReturningPackages -> ReturnBill -> confirmTmpReturnedPackageStatus -> updateReturnedByCod,14,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> PickupBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill,14,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> PickupBill -> cfmTransit -> TransferToBothBill,14,11
putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill -> distributorCfmReturning -> importStationByDistributer,14,8
confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill,14,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> updatePickedByCod -> PickupBill -> confirmTmpPickedPackageStatus -> cfmTransit -> TransferToBothBill,14,11
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,14,12
distributorCfmDeliver -> privateNotePackage -> putPackages2Bag -> assignBagWithIdentifyBag,14,4
distributorCfmDeliver -> privateNotePackage -> cfmTransit -> TransferToBothBill,14,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> cfmTransit -> TransferToBothBill,13,11
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> cfmTransit -> TransferToBothBill,13,6
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> cfmTransit -> TransferToBothBill,13,7
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> distributorCfmReturning -> importStationByDistributer -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,13,10
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> importStationByDistributer -> distributorCfmReturning -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,13,10
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> cfmTransit -> TransferToBothBill,13,8
assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill -> importStationByDistributer -> distributorCfmReturning -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,13,12
verifySessionBags -> distributorCfmDeliver -> privateNotePackage,13,3
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod -> cfmTransit -> TransferToBothBill,13,11
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill -> confirmTmpPickedPackageStatus,13,7
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,13,12
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,13,10
assignCodPicking -> assignCodPicking -> smartScaleScanningPackage -> putPackages2Bag -> putInBox,12,5
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill,12,7
assignCodPicking -> PickupBill -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill -> updatePickedByCod,12,5
distributorCfmDeliver -> updateDeliverCod -> editPackage,12,3
assignCodPicking -> PickupBill -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> updatePickedByCod,12,5
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill -> distributorCfmReturning -> importStationByDistributer,12,9
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod,12,9
assignCodPicking -> PickupBill -> updatePickedByCod -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus,12,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> cfmTransit -> TransferToBothBill,12,6
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill -> confirmTmpPickedPackageStatus -> cfmTransit -> TransferToBothBill,12,11
assignCodPicking -> assignCodPicking -> assignCodPicking -> updateReturnedByCod -> ReturnBill -> confirmTmpReturnedPackageStatus,12,6
cfmTransit -> TransferToBothBill -> verifySessionBags -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning,12,6
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> importStationByDistributer -> distributorCfmReturning,12,7
assignCodPicking -> assignCodPicking -> cfmImpPkgFrPONew,12,3
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> updatePickedByCod,12,7
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,12,10
assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill -> PickupCrossProvinceBill,12,7
distributorCfmDeliver -> distributorCfmDeliver -> privateNotePackage,12,3
assignCodPicking -> assignCodPicking -> assignCodPicking -> updatePickedByCod -> PickupBill -> confirmTmpPickedPackageStatus -> PickupCrossProvinceBill,12,7
