action_sequence_str,count
verifySessionPackage → verifySessionPackage → verifySessionPackage → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → distributorCfmDeliver → verifySessionPackage → verifySessionPackage → verifySessionPackage → privateNotePackage,1
changePackageStatus → changeCodForPackagesInCart → assignCodPicking → confirmTmpPickedPackageStatus → PickupBill → updateDelayPickingByCod → assignCodPicking → PickupBill → confirmTmpPickedPackageStatus → updateDelayPickingByCod → changePackageStatus → updatePickedByCod → PickupCrossProvinceBill → PickupBill → confirmTmpPickedPackageStatus,1
printfPackage → verifySessionPackage → NVBCTakeAPhotoDelivery → saveSealForSpecialPackage → distributorCfmDeliver,1
confirmTmpPickedPackageStatus → PickupBill → PickupCrossProvinceBill → updatePickedByCod → putPackages2Bag → smartScaleScanningPackage → assignBagWithIdentifyBag,1
updateDeliverWorkshiftByCod → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → RefundBill → ChangeDeliverCodByConfirmDeliveringByOperator → updateDeliverWorkshiftByCod → distributorCfmDeliver,1
distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod,1
changePackageStatus → confirmTmpPickedPackageStatus → updatePickedByCod → PickupCrossProvinceBill → PickupBill,1
smartScaleScanningPackage → importStationByDistributer → distributorCfmReturning → confirmTmpReturnedPackageStatus → updateReturnedByCod → ReturnBill,1
distributorCfmDeliver → verifySessionPackage → confirmIssueHandovers → feedbackReDelivery → feedbackReDelivery → distributorCfmDeliver → verifySessionPackage → verifySessionPackage,1
distributorCfmDeliver → RefundBill → confirmTmpDeliveredPackageStatus → updateDelayDeliveringByCod → distributorCfmDeliver → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → RefundBill → distributorCfmDeliver,1
privateNotePackage → feedbackReDelivery → confirmIssueHandovers → feedbackReDelivery → privateNotePackage → privateNotePackage,1
distributorCfmDeliver → privateNotePackage → RefundBill → updateDelayDeliveringByCod → confirmTmpDeliveredPackageStatus → distributorCfmDeliver → confirmTmpDeliveredPackageStatus → RefundBill → updateDelayDeliveringByCod,1
