count,from_action,to_action
26,importStationByDistributer,smartScaleScanningPackage
26,changeAttributeForSurplus,privateNotePackage
26,assignCodPicking,scanBox
26,saveSealForSpecialPackage,saveIsfrageImages
26,saveIsfrageImages,putPackages2Bag
26,ReturnBill,updateDelayReturningByCod
26,smartScaleScanningPackage,saveIsfrageImages
25,updateDeliverWorkShiftPackage,privateNotePackage
25,confirmImportPackageApart,verifySessionPackage
25,verifySessionBags,changeCurStationBagSurplus
25,RefundBill,updateNotDeliveredByCod
25,ReturnBill,distributorCfmReturning
25,PkBusCheckinPackage,smartScaleScanningPackage
25,cfmImpPkgFrPONew,verifySessionPackage
25,smartScaleScanningPackage,confirmTmpPickedPackageStatus
25,delayPickPackageReason,updateDelayPickingByCod
24,changePackageStatus,feedbackCancelPackage
24,verifySessionBags,updateReturnedByCod
24,confirmTmpPickedPackageStatus,verifySessionPackage
24,takeReturningPackages,ReturnBill
24,PickupCrossProvinceBill,verifySessionPackage
24,ScanPackageToBag,ImportPkgCheckIn
24,changePackageStatus,smartScaleScanningPackage
23,verifySessionPackage,TakeAPhotoReturnRequest
23,smartScaleScanningPackage,updatePickedByCod
23,updateTmpReturningStatus,confirmTmpReturnedPackageStatus
23,putPackages2Bag,putPackages2TmpBag
23,privateNotePackage,NVBCTakeAPhotoDelivery
23,PickupBill,ReturnBill
23,printfPackage,saveIsfrageImages
23,updateDeliverCod,privateNotePackage
22,BlurredBarcode,DteamTakeAPhotoDeliver
22,printfPackage,verifySessionPackage
22,ReturnBill,confirmTmpDelayReturningPackageStatus
22,TransferToBothBill,verifySessionPackage
22,assignCodPicking,feedbackCancelPackage
22,PickupBill,smartScaleScanningPackage
21,distributorCfmDeliver,updateDeliverWorkshiftByCod
21,takeOutPackages2Bag,putPackages2Bag
21,saveIsfrageImages,distributorCfmDeliver
21,PickupBill,feedbackCancelPackage
21,TransferToBothBill,TakeAPhotoReturnRequest
21,updateDeliverCod,distributorCfmDeliver
21,importStationByDistributer,confirmTmpDelayReturningPackageStatus
21,saveIsfrageImages,TakeAPhotoReturnRequest
21,distributorCfmDeliver,updateNotDeliveredByCod
20,updatePickedByCod,confirmTmpReturnedPackageStatus
20,TakeAPhotoPicked,saveSealForSpecialPackage
20,PickupBill,TransferToBothBill
20,distributorCfmReturning,smartScaleScanningPackage
20,importStationByDistributer,updateTmpReturningStatus
20,changeCurStationBagSurplus,verifySessionBags
20,editPackage,privateNotePackage
20,editPackage,distributorCfmDeliver
20,assignCodPicking,privateNotePackage
20,autoReassignDateDeliver,PickupBill
20,verifySessionBags,saveIsfrageImages
20,verifySessionBags,smartScaleScanningPackage
20,changeTrfSorting,editPackage
19,changeCodForPackagesInCart,verifySessionBags
19,putPackages2TmpBag,putPackages2Bag
18,PickupBill,putPackages2Bag
18,verifySessionPackage,takeReturningPackages
18,assignCodPicking,updatePickWorkShiftPackage
18,updatePickedByCod,putPackages2Bag
18,smartScaleScanningPackage,confirmTmpReturnedPackageStatus
17,feedbackCancelPackage,PickupBill
16,scanPackageCreateBagB2C,smartScaleScanningPackage
16,approvedPackage,changePackageStatus
16,confirmIssueHandovers,feedbackReDelivery
16,smartScaleScanningPackage,ScanPackageToBag
16,feedbackReDelivery,confirmIssueHandovers
16,privateNotePackage,printfPackage
16,editPackage,changeTrfSorting
16,privateNotePackage,feedbackReDelivery
15,ReturnBill,smartScaleScanningPackage
15,distributorCfmReturning,updateTmpReturningStatus
15,smartScaleScanningPackage,ReturnBill
15,distributorCfmReturning,confirmTmpDelayReturningPackageStatus
15,PickupCrossProvinceBill,printfPackage
15,ArriveDeliveringPoint,delayDeliverPackageReason
