pkg_order,action,username,length
1384617053,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver,quanvc5,3
1034706435,verifySessionPackage -> distributorCfmDeliver -> distributorCfmDeliver,quanvc5,3
1693064873,verifySessionPackage -> distributorCfmDeliver -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill -> distributorCfmDeliver,quanvc5,6
1704565111,verifySessionPackage -> distributorCfmDeliver -> confirmTmpDeliveredPackageStatus -> RefundBill -> updateDelayDeliveringByCod -> privateNotePackage,quanvc5,6
1451616618,verifySessionPackage -> distributorCfmDeliver -> cfmTransit -> TransferToBothBill,quanvc5,4
1386972999,verifySessionPackage -> distributorCfmDeliver -> TakeAPhotoDeliveryPhotos -> DteamTakeAPhotoDeliver -> ArriveDeliveringPoint -> ArriveDeliveringPoint -> updateTmpDeliveringStatus -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,9
1901851622,verifySessionPackage -> confirmTmpDeliveredPackageStatus -> updateNotDeliveredByCod -> RefundBill -> privateNotePackage,quanvc5,5
1846127520,verifySessionPackage -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill -> privateNotePackage -> privateNotePackage -> cfmTransit -> TransferToBothBill,quanvc5,8
1706879182,verifySessionPackage -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill -> distributorCfmDeliver -> confirmTmpDeliveredPackageStatus -> RefundBill -> updateDelayDeliveringByCod -> distributorCfmDeliver -> confirmTmpDeliveredPackageStatus -> updateNotDeliveredByCod -> RefundBill,quanvc5,12
1419659082,verifySessionPackage -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill -> distributorCfmDeliver -> RefundBill -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> distributorCfmDeliver -> editPackage -> updateDeliverCod -> confirmTmpDeliveredPackageStatus -> updateNotDeliveredByCod -> RefundBill -> privateNotePackage,quanvc5,15
1388593796,verifySessionPackage -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill -> distributorCfmDeliver,quanvc5,5
1465603217,verifySessionPackage -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> RefundBill -> distributorCfmDeliver,quanvc5,5
3312963806,verifySessionPackage -> confirmTmpDeliveredPackageStatus -> RefundBill -> updateDelayDeliveringByCod -> distributorCfmDeliver,quanvc5,5
1853449587,verifySessionPackage -> cfmTransit -> TransferToBothBill,quanvc5,3
1466211377,verifySessionPackage -> cfmTransit -> TransferToBothBill,quanvc5,3
1463484414,verifySessionPackage -> cfmTransit -> TransferToBothBill,quanvc5,3
1219311425,verifySessionPackage -> cfmTransit -> TransferToBothBill,quanvc5,3
1915555617,verifySessionPackage -> cfmTransit -> TransferToBothBill,quanvc5,3
1071965057,verifySessionPackage -> TakeAPhotoSignatureTiktokPackage -> DteamTakeAPhotoDeliver -> ArriveDeliveringPoint -> ArriveDeliveringPoint -> updateTmpDeliveringStatus -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,8
1844661075,verifySessionPackage -> TakeAPhotoReturnRequest -> importStationByDistributer -> distributorCfmReturning -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,7
1690560303,verifySessionPackage -> TakeAPhotoReturnRequest -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,quanvc5,7
1570308561,verifySessionPackage -> TakeAPhotoReturnRequest -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,quanvc5,7
